Aeroporto Anaa, Anaa, Polinésia Francesa
Bad Bleiberg, Carintia, Áustria
Ronneby, Blekinge, Suécia
Blenheim, Marlborough, Nova Zelândia
Aeroporto Belaga, Belaga, Malásia
Aeroporto Bellingham, Bellingham, Estados Unidos
Aeroporto Batna, Batna, Argélia
Aeroporto Blackpool, Blackpool, Reino Unido
Aeroporto Billund, Billund, Dinamarca
Aeroporto Benalla, Benalla, Austrália
Blonduos, Noroeste, Islândia
Bloemfontein, Free, África do Sul
Bloodvein River, Canadá
Block Island, Ilha de Rodes, Estados Unidos
Bloomington, Indiana, Estados Unidos
Bloomington, Ilinóis, Estados Unidos
Bloomfield, Austrália
Blois, Region Centre, França
Aeroporto Guglielmo Marconi, Bolonha, Itália
Aeroporto Internacional Bangalore, Bangalore, Índia
Aeroporto Bollon, Bollon, Austrália
Aeroporto Blackwater, Blackwater, Austrália
Blubber Bay, Canadá
Bluefields, Region Autonoma Atlantico Sur, Nicarágua
Red Bluff, Califórnia, Estados Unidos
Poplar Bluff, Missouri, Estados Unidos
Blue Bay, Maurício
Bluefield, Virginia Occidental, Estados Unidos
Blumenau, Santa Catarina, Brasil
Longstaff Bluff, Canadá
Aeroporto Belluno, Belluno, Itália
Blythe, Califórnia, Estados Unidos
Blytheville, Arcansas, Estados Unidos
Aeroporto Chileka, Blantyre, Malauí
Aeroporto Bromma, Estocolmo, Suécia
Aeroporto Bumba, Bumba, República Democrática do Congo
Aeroporto Belo, Belo, Madagáscar
Aeroporto Broome, Broome, Austrália
Aeroporto Bakouma, Bakouma, República Centro-Africana
Aeroporto Bloomington, Bloomington, Estados Unidos
Aeroporto Bomai, Bomai, Papua-Nova Guiné
Aeroporto Central Illinois Regional at Bloomington-Normal, Bloomington, Estados Unidos
Aeroporto Baramita, Baramita, Guyana
Aeroporto Borkum, Borkum, Alemanha
Aeroporto Bitam, Bitam, Gabão
Aeroporto Bamerny, Bamerny, Iraque
Aeroporto Bhamo, Bhamo, Mianmar [Birmânia]
Aeroporto Brampton Island, Brampton Island, Austrália
Aeroporto Bamburi, Bamburi, Quênia
Aeroporto Baltrum, Baltrum, Alemanha
Aeroporto Bima, Bima, Indonésia
Aeroporto Phung-Duc, Ban Me Thout, Vietname
Aeroporto Bordj Badji Mokhtar, Bordj Badji Mokhtar, Argélia
Aeroporto Belep Island, Belep, Nova Caledônia
Aeroporto Bamu, Bamu, Papua-Nova Guiné
Aeroporto Internacional Nashville, Nashville, Estados Unidos
Aeroporto Boende, Boende, República Democrática do Congo
Aeroporto Beni, Beni, República Democrática do Congo
Aeroporto Internacional Brisbane, Brisbane, Austrália
Aeroporto Benin City, Benin City, Nigéria
Aeroporto Ballina Byron Gateway, Ballina, Austrália
Aeroporto Bodinumu, Bodinumu, Papua-Nova Guiné
Aeroporto Bronnoy, Bronnoysund, Noruega
Aeroporto Bannu, Bannu, Paquistão
Aeroporto Baganga, Bagana, Filipinas
Aeroporto Banfora, Banfora, Burkina Fasso
Aeroporto Barinas, Barinas, Venezuela
Aeroporto Bundi, Bundi, Índia
Aeroporto Boana, Boana, Papua-Nova Guiné
Aeroporto Banja Luka, Banja Luka, Bósnia-Herzegovina
Aeroporto Bellona, Bellona, Ilhas Salomão
Aeroporto Banz, Banz, Papua-Nova Guiné
Sao Joao da Boa Vista, São Paulo, Brasil
Boana, Morobe, Papua-Nova Guiné
Boavista, Cabo Verde
Boang, Papua-Nova Guiné
Boa Vista do Tupim, Bahia, Brasil
Boa Viagem, Ceará, Brasil
 agua Boa, Mato Grosso, Brasil
Boa Vista, Roraima, Brasil
Bobo / Dioulasso, Burkina Fasso
Bob Quinn Lake, Canadá
Boca Raton, Flórida, Estados Unidos
Bocaina, Rio de Janeiro, Brasil
Bocaiuva, Minas Gerais, Brasil
Bochum, Land Nordrhein-Westfalen, Alemanha
La Boca, Artemisa, Cuba
Tres Bocas, Entre Rios, Argentina
Boca Chica, Santo Domingo, República Dominicana
Bocas del Toro, Bocas del Toro, Panamá
Bodoquena, Mato Grosso do Sul, Brasil
Bodrum Imsik, Turquia
Bodo, Nordland Fylke, Noruega
Bodoco, Pernambuco, Brasil
Bodinumu, Papua-Nova Guiné
Boeblingen, Baden-Württemberg, Alemanha
Boende, Equateur, República Democrática do Congo
Boekend, Provincie Limburg, Holanda
Mariano Boedo, Formosa, Argentina
Mahajanga, Boeny Region, Madagáscar
Aeroporto Orebro-bofors, Orebro, Suécia
Bogande, Est, Burkina Fasso
Bogalusa, Louisiana, Estados Unidos
Boghe, Brakna, Mauritânia
Bognor Regis, Inglaterra, Reino Unido
Chavannes-de-Bogis, Suíça
Bogota, Bogotá D.C., Colômbia
Aeroporto Internacional Bournemouth, Bournemouth, Reino Unido
Ilha de Boipeba, Bahia, Brasil
Boi Taull, Espanha
Boigu Island, Austrália
Boiçucanga, São Paulo, Brasil
Boise, Idaho, Estados Unidos
Boituva, São Paulo, Brasil
Aeroporto Bourgas, Burgas, Bulgária
Bokoro, Hadjer-Lamis, Chade
Bokondini, Indonésia
Boku, Bougainville, Papua-Nova Guiné
Bokel, Schleswig-Holstein, Alemanha
Boke, Boke Region, Guiné
Koundara, Boke Region, Guiné
Ban Houei Sai, Khoueng Bokeo, República Popular Democrática do Laos
Bolonha, Emilia-Romagna, Itália
La Paz, La Paz, Bolívia
Ilha de Baru, Bolívar, Colômbia
Santa Cruz, Santa Cruz, Bolívia
Bolzano, Tirol Meridional, Itália
Uyuni, Potosi, Bolívia
Cartagena de Indias, Bolívar, Colômbia
Cochabamba, Cochabamba, Bolívia
Bombas, Santa Catarina, Brasil
Bom Jardim da Serra, Santa Catarina, Brasil
Bombaim, Maharashtra, Índia
Bom Jardim, Rio de Janeiro, Brasil
Bomai, Papua-Nova Guiné
Bombinhas, Santa Catarina, Brasil
Bom Jesus da Lapa, Bahia, Brasil
Campo Bom, Rio Grande do Sul, Brasil
Bonito, Pernambuco, Brasil
Barra Bonita, São Paulo, Brasil
Ribeirao Bonito, São Paulo, Brasil
Bonaire, Bonaire, Território Insular de Bonaire
Bonn, Land Nordrhein-Westfalen, Alemanha
Bongo, Ogooue-Maritime, Gabão
Bonito, Mato Grosso do Sul, Brasil
Phu-Bon, Vietname
Booue, Ogooue-Ivindo, Gabão
Boonah, Queensland, Austrália
Boone, Iowa, Estados Unidos
Aeroporto Bouar, Bouar, República Centro-Africana
Boquete, Chiriqui, Panamá
Filadelfia, Boqueron, Paraguai
Boquillas, Coahuila de Zaragoza, México
Boquim, Sergipe, Brasil
Mariscal Estigarribia, Boqueron, Paraguai
Bora Bora, Polinésia Francesa
Borba, Amazonas, Brasil
Dijon, Borgonha, França
El Borma, Tunísia
Borden, Canadá
Borrby, Skane Laen, Suécia
 Bordéus, Aquitânia, França
Telêmaco Borba, Parana, Brasil
Boston, Massachusetts, Estados Unidos
Bost, Helmand, Afeganistão
Bossaso, Somália
Bosset, Western, Papua-Nova Guiné
Bossangoa, Ouham, República Centro-Africana
Boswell Bay, Alasca, Estados Unidos
Bossembele, República Centro-Africana
Bosisio Parini, Lombardia, Itália
Botucatu, São Paulo, Brasil
Botopasie, Distrikt Sipaliwini, Suriname
Botuver a, Santa Catarina, Brasil
Lobatze, Botsuana
Hukuntsi, Botsuana
Savuti, Botsuana
Orapa, Botsuana
Selibi Phikwe, Botsuana
Bouna, Zanzan, Costa do Marfim
Bouar, Nana-Mambere, República Centro-Africana
Bourges, Region Centre, França
Boulder, Colorado, Estados Unidos
Bouwer, Córdoba, Argentina
Dijon, Borgonha, França
Bouca, República Centro-Africana
Boundji, Cuvette, Congo
Bovril, Entre Rios, Argentina
Bowen, Mendoza, Argentina
Bowman, Dakota do Norte, Estados Unidos
Bowen, Queensland, Austrália
Bowling Green, Kentucky, Estados Unidos
Box, Southern Finland, Finlândia
Boxborough, Massachusetts, Estados Unidos
Puerto Boyaca, Boyacá, Colômbia
Boynton Beach, Flórida, Estados Unidos
Paipa, Boyacá, Colômbia
Guacamayas, Boyacá, Colômbia
Tunja, Boyacá, Colômbia
Rancho Boyeros, La Habana, Cuba
Boyne Falls, Michigan, Estados Unidos
Villa de Leyva, Boyacá, Colômbia
Bozoum, Ouham-Pende, República Centro-Africana
Bozeman, Montana, Estados Unidos
Aeroporto Boridi, Boridi, Papua-Nova Guiné
Aeroporto Bamenda, Bamenda, Camarões
Aeroporto Bapi, Bapi, Papua-Nova Guiné
Aeroporto Barra Do Garcas, Barra do Garcas, Brasil
Aeroporto Bislig, Bislig, Filipinas
Aeroporto Sepingan, Balikpapan, Indonésia
Aeroporto Porto Seguro, Porto Seguro, Brasil
Aeroporto Jefferson County, Beaumont / Port Arthur, Estados Unidos
Aeroporto Beppu, Beppu, Japão
Aeroporto Besalampy, Besalampy, Madagáscar
Aeroporto Baler, Baler, Filipinas
Aeroporto Bubaque, Bubaque, Guiné-Bissau
Aeroporto Biggin Hill, Biggin Hill, Reino Unido
Aeroporto Glynco Jetport, Brunswick, Estados Unidos
Aeroporto Boulia, Boulia, Austrália
Aeroporto Borinquen, Aguadilla, Porto Rico
Aeroporto Bouna, Bouna, Costa do Marfim
Aeroporto Blagoveschensk, Blagoveschensk, Rússia
Aeroporto Brest, Brest, Bielo-Rússia
Aeroporto J. F. Mitchell, Bequia, Granada
Aeroporto Balgo Hills, Balgo Hills, Austrália
Brasília, Distrito Federal, Brasil
Rio de Janeiro, Rio de Janeiro, Brasil
São Paulo, São Paulo, Brasil
Maceió, Alagoas, Brasil
Florianópolis, Santa Catarina, Brasil
Natal, Rio Grande do Norte, Brasil
Fortaleza, Ceará, Brasil
Porto Seguro, Bahia, Brasil
Aeroporto Internacional San Carlos de Bariloche, San Carlos de Bariloche, Argentina
Kozana, Brda, Eslovénia
Brescia, Lombardia, Itália
Brea, Califórnia, Estados Unidos
Brejo, Maranhão, Brasil
Bremen, Bremen, Alemanha
Breves, Pará, Brasil
La Brede, Aquitânia, França
Brest, Bretanha, França
Brest, Bielo-Rússia
Aeroporto Bradford, Bradford, Reino Unido
Aeroporto Brahman, Brahman, Papua-Nova Guiné
Brisbane, Queensland, Austrália
Brighton, Inglaterra, Reino Unido
North Vancouver, Colúmbia Britânica, Canadá
Whistler, Colúmbia Britânica, Canadá
Kelowna, Colúmbia Britânica, Canadá
Victoria, Colúmbia Britânica, Canadá
Vancouver, Colúmbia Britânica, Canadá
Bria, Haute-Kotto, República Centro-Africana
Aeroporto Bright, Bright, Austrália
Aeroporto Bourke, Bourke, Austrália
Aeroporto Burlington, Burlington, Estados Unidos
Aeroporto Barquisimeto, Barquisimeto, Venezuela
Brno Bus station, República Checa
Brno, Morávia do Sul, República Checa
Brotas, São Paulo, Brasil
Brochet, Canadá
Borough of Bronx, Nova Iorque, Estados Unidos
Bromont, Quebeque, Canadá
Broadus, Montana, Estados Unidos
Broadview, Canadá
Lac Brochet, Canadá
Brooklyn, Nova Iorque, Estados Unidos
Aeroporto Biaru, Biaru, Papua-Nova Guiné
Aeroporto Turany, Brno, República Checa
Aeroporto North Bay, Barra, Portugal
Aeroporto Bristol, Bristol, Reino Unido
Aeroporto Bathurst Island, Bathurst Island, Austrália
Brumadinho, Minas Gerais, Brasil
Brumado, Bahia, Brasil
Brunswick, Maine, Estados Unidos
Bruggen, Land Nordrhein-Westfalen, Alemanha
Bruxelas, Bruxelles-Capitale, Bélgica
Brusque, Santa Catarina, Brasil
Bruges, Flemish Region, Bélgica
Brunate, Lombardia, Itália
Aeroporto Bremerhaven, Bremerhaven, Alemanha
Aeroporto Wiley Post/W.Rogers M, Point Barrow, Estados Unidos
Bryansk, Rússia
Bryan, Texas, Estados Unidos
Bryce, Utah, Estados Unidos
Aeroporto Borotou, Borotou, Costa do Marfim
Buenos Aires, Ciudad de Buenos Aires, Argentina
Aeroporto Presidente Juscelino Kubitschek, Brasília, Brasil
Aeroporto Bahia Solano, Bahia Solano, Colômbia
Aeroporto Baoshan, Baoshan, República Popular da China
Aeroporto Sematan, Sematan, Malásia
Aeroporto Bata, Bata, Guiné Equatorial
Bsharri, Mohafazat Liban-Nord, Líbano
Aeroporto Bairnsdale, Bairnsdale, Austrália
Aeroporto Mohamed Boudiaf, Biskra, Argélia
Aeroporto Euro Basel Mulhouse Freiburg, Basileia, Suíça
Aeroporto Bossangoa, Bossangoa, República Centro-Africana
Aeroporto Basco, Basco, Filipinas
Aeroporto Bensbach, Bensbach, Papua-Nova Guiné
Aeroporto Internacional Basra, Basra, Iraque
Aeroporto Bost, Bost, Afeganistão
Aeroporto Basankusu, Basankusu, República Democrática do Congo
Aeroporto Besakoa, Bosset, Papua-Nova Guiné
Aeroporto Bassein, Bassein, Mianmar [Birmânia]
Aeroporto Bardera, Bardera, Somália
Aeroporto Bartletts, Egegik, Estados Unidos
Aeroporto Yaoundé, Bertoua, Camarões
Aeroporto Betou, Betou, Congo
Aeroporto Batticaloa, Batticalca, Sri Lanka
Aeroporto Brunette Downs, Brunette Downs, Austrália
Aeroporto Bonthe, Bonthe, Serra Leoa
Aeroporto Batangafo, Batangafo, República Centro-Africana
Aeroporto Hang Nadim, Batam, Indonésia
Aeroporto Barter Island, Barter Island, Estados Unidos
Aeroporto Sultan Iskandarmuda, Banda Aceh, Indonésia
Aeroporto Bratsk, Bratsk, Rússia
Aeroporto Bert Mooney, Butte, Estados Unidos
Aeroporto Botopasie, Botopasie, Suriname
Aeroporto Butare, Butare, Ruanda
Aeroporto Ryan, Baton Rouge, Estados Unidos
Aeroporto M. R. Štefánika, Bratislava, Eslováquia
Aeroporto Bettles, Bettles, Estados Unidos
Aeroporto Bintulu, Bintulu, Malásia
Aeroporto Internacional Burlington, Burlington, Estados Unidos
Aeroporto Batu Licin, Batu Licin, Indonésia
Aeroporto Betoota, Betoota, Austrália
Aeroporto Bursa, Bursa, Turquia
Bua, Fiji
Bubaque, Guiné-Bissau
Bucerías, Nayarit, México
Buchans, Canadá
Buchanan, Buenos Aires, Argentina
Buckland, Alasca, Estados Unidos
Buchanan, Grand Bassa, Libéria
Buchardo, Córdoba, Argentina
Bucaramanga, Santander, Colômbia
Bucareste, Bucuresti, Roménia
Budapeste, Budapest fovaros, Hungria
Budens, Faro, Portugal
Budardalur, Oeste, Islândia
Budva, Montenegro
Buenos Aires, Ciudad de Buenos Aires, Argentina
Bueno Brandao, Minas Gerais, Brasil
Ezeiza, Buenos Aires, Argentina
Mar del Plata, Buenos Aires, Argentina
Tigre, Buenos Aires, Argentina
Pilar, Buenos Aires, Argentina
Playa Buena, Costa Rica
Buesum, Schleswig-Holstein, Alemanha
Buffalo, Wyoming, Estados Unidos
Mt. Buffalo, Austrália
Buffalo Narrows, Canadá
Buffalo, Nova Iorque, Estados Unidos
Buffalo Range, Zimbábue
Buga, Valle del Cauca, Colômbia
Bugulma, Tatarstan, Rússia
Aeroporto Metropolitan Area, Bucareste, Roménia
Buin, Bougainville, Papua-Nova Guiné
Buique, Pernambuco, Brasil
Buin, Santiago, Chile
Bujumbura, Bujumbura Mairie, Burundi
Bukhoro, Bukhara, Uzbequistão
Bukavu, República Democrática do Congo
Buka Island, Papua-Nova Guiné
Bukoba, Kagera Region, Tanzânia
Bulgan, Bulgan Aymag, Mongólia
Bullard, Texas, Estados Unidos
Bulchi, Etiópia
Bulawayo, Zimbábue
Bulolo, Morobe, Papua-Nova Guiné
Bullfrog Basin, Utah, Estados Unidos
Bullhead City, Arizona, Estados Unidos
Bulimba, Austrália
Bumi Hills, Zimbábue
Bumba, Equateur, República Democrática do Congo
Bunbury, Western Australia, Austrália
Bundi, Rajasthan, Índia
Bunia, Orientale, República Democrática do Congo
Buno Bedelle, Etiópia
Bunyu, Indonésia
Bundaberg, Queensland, Austrália
Buol, Sulawesi Tengah, Indonésia
Buochs, Kanton Nidwalden, Suíça
Aeroporto Bhatinda, Bhatinda, Índia
Aeroporto Bulawayo, Bulawayo, Zimbábue
Bursa, Bursa, Turquia
Bureta, Fiji
Buri, São Paulo, Brasil
Buraimi, Muhafazat al Buraymi, Omã
Burao, Gobolka Togdheer, Somália
 Bordéus, Aquitânia, França
Burns, Oregon, Estados Unidos
Burgas, Burgas, Bulgária
Busuanga, Mimaropa, Filipinas
Brno Bus station, República Checa
Odense BUS Station, Dinamarca
Corral de Bustos, Córdoba, Argentina
Eugenio Bustos, Mendoza, Argentina
Orlando, Flórida, Estados Unidos
Bustamante, Nuevo León, México
Entroque A Bustamante, Nuevo León, México
Buta, Congo
Butte, Montana, Estados Unidos
Butare, Southern, Ruanda
Butler, Missouri, Estados Unidos
Butuan, Caraga, Filipinas
Butler, Pensilvânia, Estados Unidos
Buton Babau, Indonésia
Butterworth, Malásia
Aeroporto Buyo, Buyo, Costa do Marfim
Aeroporto Baubau, Buton Babau, Indonésia
Aeroporto Bunia, Bunia, República Democrática do Congo
Buyo, Costa do Marfim
Búzios, Rio de Janeiro, Brasil
Aeroporto Beauvais-Tille, Beauvais, França
Aeroporto Boa Vista, Boa Vista, Brasil
Aeroporto Rabil, Boavista, Cabo Verde
Aeroporto Laroche, Brive-La-Gaillarde, França
Aeroporto Dama, Bua, Fiji
Aeroporto Berlevag, Berlevag, Noruega
Aeroporto Vilhena, Vilhena, Brasil
Aeroporto Birdsville, Birdsville, Austrália
Aeroporto Bolovip, Bolovip, Papua-Nova Guiné
Aeroporto Esperadinha, Esperadinha, Cabo Verde
Aeroporto Batavia Downs, Batavia Downs, Austrália
Aeroporto Beverley Springs, Beverley Springs, Austrália
Aeroporto Bhairawa, Bhairawa, Nepal
Aeroporto Barrow Island, Barrow Island, Austrália
Aeroporto Braunschweig, Braunschweig, Alemanha
Aeroporto Walney Island, Barrow-in-Furness, Reino Unido
Aeroporto Warren County, Bowling Green, Estados Unidos
Aeroporto Butterworth, Butterworth, Malásia
BWIA, Trindade e Tobago
Bwindi Impenetrable National Park, Western Region, Gana
Aeroporto Bawan, Bawan, Papua-Nova Guiné
Aeroporto Brac, Bol, Croácia
Aeroporto Internacional Bandar Seri Begwan, Bandar Seri Begwan, Brunei
Aeroporto Balakovo, Balakovo, Rússia
Aeroporto Bewani, Benawi, Papua-Nova Guiné
Aeroporto Brewarrina, Brewarrina, Austrália
Aeroporto Burnie Wynyard, Burnie, Austrália
Aeroporto Sydney Bankstown, Bankstown, Austrália
Aeroporto Cayo Las Brujas, Cayo las Brujas, Cuba
Aeroporto Bentwaters St, Suffolk, Reino Unido
Aeroporto Babo, Babo, Indonésia
Aeroporto Bade, Bade, Indonésia
Aeroporto Bakel, Bakel, Senegal
Aeroporto Bendigo, Waynesboro, Austrália
Aeroporto Balhash, Balhash, Cazaquistão
Aeroporto Boundiali, Boundiali, Costa do Marfim
Aeroporto Blue Lagoon, Blue Lagoon, Fiji
Aeroporto Batom, Batom, Indonésia
Aeroporto Imsik, Bodrum Imsik, Turquia
Aeroporto Buochs, Buochs, Suíça
Aeroporto Bontang, Bontang, Indonésia
Aeroporto Butuan, Butuan, Filipinas
Aeroporto Breiddalsvik, Breiddalsvik, Islândia
Aeroporto Dibaa, Dibaa, Omã
Aeroporto Yacuiba, Yacuiba, Bolívia
Bydgoszcz, Cujávia-Pomerânia, Polónia
Aeroporto Bykovo, Moscou, Rússia
Aeroporto Bouake, Bouake, Costa do Marfim
Aeroporto Bella Yella, Bella Yella, Libéria
Aeroporto Bayamo, Bayamo, Cuba
Aeroporto regional de Bonito, Bonito, Brasil
Aeroporto Bunyu, Bunyu, Indonésia
Byron Bay, Nova Gales do Sul, Austrália
Byron Bay, Canadá
Aeroporto Bantry, Bantry, Irlanda
Aeroporto Bindlacher-Berg, Bayreuth, Alemanha
Byxelkrok, Kalmar, Suécia
Aeroporto Balranald, Balranald, Austrália
Aeroporto Internacional Philip S. W. Goldson, Belize City, Belize
Aeroporto Bydgoszcz I. J. Paderewski, Bydgoszcz, Polónia
Aeroporto Bumi Hills, Bumi Hills, Zimbábue
Aeroporto Balikesir, Balikesir, Turquia
Aeroporto Briansk, Bryansk, Rússia
Aeroporto Barisal, Barisal, Bangladesh
Aeroporto Gallatin Field, Bozeman, Estados Unidos
Aeroporto Bolzano, Bolzano, Itália
Aeroporto Bizant, Bizant, Austrália
Aeroporto Beziers Vias, Beziers, França
Aeroporto Buta, Buta, Congo
Aeroporto Maya Maya, Brazzaville, Congo
Aeroporto Beltsy, Beltsy, Moldova
Caacupé, la Cordillera, Paraguai
Cabo Frio, Rio de Janeiro, Brasil
Cabo do Santo Agostinho, Pernambuco, Brasil
Cidade do Cabo, the Western Cape, África do Sul
Cabreuva, São Paulo, Brasil
Santa Cruz de Cabrália, Bahia, Brasil
Cabo San Lucas, Baixa Califórnia do Sul, México
San Jose Del Cabo, Baixa Califórnia do Sul, México
Arraial do Cabo, Rio de Janeiro, Brasil
Cacoal, Rondônia, Brasil
Caçador, Santa Catarina, Brasil
Cachoeira, Bahia, Brasil
Cacapava, São Paulo, Brasil
Cachoeiro de Itapemirim, Espírito Santo, Brasil
Cáceres, Mato Grosso, Brasil
Cachoeiras de Macacu, Rio de Janeiro, Brasil
Cachoeira Paulista, São Paulo, Brasil
Cadereyta, Nuevo León, México
Cadillac, Michigan, Estados Unidos
Cayo Bahia de Cadiz, Cuba
Cadeac, Meio-Dia-Pirinéus, França
Cadiz, Andaluzia, Espanha
Caeté, Minas Gerais, Brasil
Caen, Baixa-Normandia, França
São Caetano do Sul, São Paulo, Brasil
Caetite, Bahia, Brasil
Cafeara, Parana, Brasil
Cafarnaum, Bahia, Brasil
Cafelandia, São Paulo, Brasil
Cafezal do Sul, Parana, Brasil
Cafayate, Salta, Argentina
Cagno, Lombardia, Itália
San Vicente del Caguan, Caquetá, Colômbia
Caguas, Porto Rico
Cagliari, Sardegna, Itália
Cagayan de Sulu, Mimaropa, Filipinas
Cauayan, Cagayan Valley, Filipinas
Cagayan de Oro, Northern Mindanao, Filipinas
Tuguegarao, Cagayan Valley, Filipinas
Caherciveen, Irlanda
Cahors, Midi-Pyrénées, França
Cahuita, Limon, Costa Rica
Caiobá, Parana, Brasil
Caico, Rio Grande do Norte, Brasil
Providenciales, Ilhas Turks e Caicos
Duque de Caixas, Rio de Janeiro, Brasil
Caibi, Santa Catarina, Brasil
Cairo, Ilinóis, Estados Unidos
Cairo, Muhafazat al Qahirah, Egito
Cairu, Bahia, Brasil
Cajueiro da Praia, Piauí, Brasil
Cajamarca, Cajamarca, Peru
Cajón del Maipo, Santiago, Chile
Cajati, São Paulo, Brasil
El Cajon, Califórnia, Estados Unidos
Cajamar, São Paulo, Brasil
Cajazeiras, Paraíba, Brasil
Los Cajones, San Luis, Argentina
Aeroporto Akron/canton Regional, Akron, Estados Unidos
Aeroporto Internacional Cakung, Baucau, Indonésia
Caldas Novas, Goiás, Brasil
Los Angeles, Califórnia, Estados Unidos
São Francisco, Califórnia, Estados Unidos
Cali, Valle del Cauca, Colômbia
Anaheim, Califórnia, Estados Unidos
Calgary, Alberta, Canadá
Poços de Caldas, Minas Gerais, Brasil
El Calafate, Santa Cruz, Argentina
Campos do Jordão, São Paulo, Brasil
Campinas, São Paulo, Brasil
Campina Grande, Paraíba, Brasil
Campo Grande, Mato Grosso do Sul, Brasil
Cambará do Sul, Rio Grande do Sul, Brasil
Balneário Camboriú, Santa Catarina, Brasil
Camanducaia, Minas Gerais, Brasil
São José dos Campos, São Paulo, Brasil
Punta Cana, La Altagracia, República Dominicana
Canela, Rio Grande do Sul, Brasil
Canoa Quebrada, Ceará, Brasil
Canoas, Rio Grande do Sul, Brasil
Cancún, Quintana Roo, México
Cananéia, São Paulo, Brasil
Canindé de São Francisco, Sergipe, Brasil
Capao da Canoa, Rio Grande do Sul, Brasil
Capitólio, Minas Gerais, Brasil
Capao da Canoa, Rio Grande do Sul, Brasil
Capri, Campania, Itália
Bruxelas, Bruxelles-Capitale, Bélgica
Cappadocia, Turquia
Capim Branco, Minas Gerais, Brasil
Caponga, Ceará, Brasil
Cidade do Cabo, the Western Cape, África do Sul
Caquetania, Meta, Colômbia
Puerto Rico, Caquetá, Colômbia
Santana Ramos, Caquetá, Colômbia
Florencia, Caquetá, Colômbia
San Vicente del Caguan, Caquetá, Colômbia
Solano, Caquetá, Colômbia
Caraguatatuba, São Paulo, Brasil
San Carlos de Bariloche, Rio Negro, Argentina
Cartagena de Indias, Bolívar, Colômbia
Caruaru, Pernambuco, Brasil
Cardoso, São Paulo, Brasil
São Carlos, São Paulo, Brasil
Carrancas, Minas Gerais, Brasil
Playa del Carmen, Quintana Roo, México
Cascavel, Ceará, Brasil
Toledo, Castilla-La Mancha, Espanha
Salamanca, Castela e Leão, Espanha
Covilha, Castelo Branco, Portugal
Ávila, Castela e Leão, Espanha
Cascavel, Parana, Brasil
Casablanca, Region du Grand Casablanca, Marrocos
Castro, Parana, Brasil
Florianópolis, Santa Catarina, Brasil
Balneário de Penha, Santa Catarina, Brasil
Blumenau, Santa Catarina, Brasil
Joinville, Santa Catarina, Brasil
San Andrés, Providencia y Santa Catalina, Archipiélago de San Andrés, Colômbia
Bombinhas, Santa Catarina, Brasil
Barcelona, Catalunya, Espanha
Balneário Camboriú, Santa Catarina, Brasil
Caucaia, Ceará, Brasil
Caucel, Yucatán, México
Caucasia, Antioquia, Colômbia
Cauterets, Midi-Pyrénées, França
Cali, Valle del Cauca, Colômbia
Cauto Cristo, Granma, Cuba
Caucete, San Juan, Argentina
Caucaguito, Miranda, Venezuela
Mt. Cavenagh, Austrália
Caviahue, Neuquén, Argentina
Cavanagh, Córdoba, Argentina
La Piedad Cavadas, Michoacão, México
Riacho dos Cavalos, Paraíba, Brasil
Guiglo, Moyen-Cavally, Costa do Marfim
Cavalcante, Goiás, Brasil
Cavalango, Córdoba, Argentina
Aeroporto Bartolomeu Lisandro, Campos dos Goytacazes, Brasil
Caxias do Sul, Rio Grande do Sul, Brasil
Caxias, Maranhão, Brasil
Caxambu, Minas Gerais, Brasil
Duque de Caxias, Rio de Janeiro, Brasil
Cayenne, Guiana Francesa, Guiana Francesa
Cat Cay, Bahamas
Chub Cay, Bahamas
Cayasta, Santa Fe, Argentina
Walkers Cay, Bahamas
Cayo Largo do Sur, Cuba
Rum Cay, Bahamas
Pine Cay, Ilhas Turks e Caicos
Mones Cazon, Buenos Aires, Argentina
Balhash, Cazaquistão
Aqtan, Cazaquistão
Taldyqorghan, Cazaquistão
Zhezqazghan, Cazaquistão
Semey, Cazaquistão
Oral, Cazaquistão
Cazombo, Angola
Aeroporto J Wilsterman, Cochabamba, Bolívia
Aeroporto Cherrabun, Cherrabun, Austrália
Aeroporto Car Nicobar, Car Nicobar, Índia
Aeroporto Cambridge, Cambridge, Reino Unido
Aeroporto Leger, Bechar, Argélia
Aeroporto Penggung, Cirebon, Indonésia
Aeroporto Awang, Cotabato, Filipinas
Aeroporto Coimbra, Coimbra, Portugal
Aeroporto Calabar, Calabar, Nigéria
Aeroporto Canberra, Canberra, Austrália
Aeroporto Condobolin, Condobolin, Austrália
Aeroporto Canobie, Canobie, Austrália
Aeroporto Internacional Cayo Coco Jardines del Rey, Cayo Coco, Cuba
Aeroporto Grand Case, Saint Martin, Guadalupe
Aeroporto Salvaza, Carcassonne, França
Aeroporto Kozhikode, Calicut, Índia
Aeroporto Cocos Islands, Cocos Islands, Austrália
Aeroporto Chinchilla, Chinchilla, Austrália
Aeroporto Criciuma, Criciúma, Brasil
Aeroporto Chakcharan, Chakcharan, Afeganistão
Aeroporto Carriel Sur, Concepción, Chile
Aeroporto Internacional Simon Bolivar, Caracas, Venezuela
Aeroporto Netaji Subhas Chandra, Calcutá, Índia
Aeroporto Craig Cove, Craig Cove, Vanuatu
Aeroporto Cowell, Cowell, Austrália
Aeroporto Chub Cay, Chub Cay, Bahamas
Aeroporto Cooinda, Cooinda, Austrália
Aeroporto Cold Bay, Cold Bay, Estados Unidos
